Fecha;Descripcion;Otorga;Producto;Recibe;Importe;
05/08/2014 - 09:53:39;;30072-ROBERTITO PEREZ MERCADER;Virtual;30687-RUFFJM;5.000,00;
05/08/2014 - 09:50:41;;10860-Multicargas;Virtual;30072-ROBERTITO PEREZ MERCADER;-8.000,00;
26/07/2014 - 11:50:00;;30072-ROBERTITO PEREZ MERCADER;Virtual;30687-RUFFJM;5.000,00;
18/07/2014 - 15:15:59;;30072-ROBERTITO PEREZ MERCADER;Virtual;30687-RUFFJM;3.000,00;
17/07/2014 - 17:36:16;;10860-Multicargas;Virtual;30072-ROBERTITO PEREZ MERCADER;-8.000,00;
17/07/2014 - 10:19:29;;30072-ROBERTITO PEREZ MERCADER;Virtual;30687-RUFFJM;1.500,00;
;;;;;-1.500,00;
